J,Phonetic Spelling,Arabic,English,Definition
,Jahala,جهالة,Ignorance,"A lack of clarity, on the part of one or more parties to a contract, with regard to terms and conditions. Without clarity in these matters, the contract will be void."
,JuAla,جعالة,Reward fee,"Rendering a service against reward; literally wages, pay, stipend or reward, also known as ju’l. Legally, it refers to doing any job or providing a service for achieving an objective which is not sure to be achieved for someone against a prize, fee or commission. Achievement of the end result is necessary for entitlement to the fee or prize."
K,Phonetic Spelling,Arabic,English,Definition
,Kafala,كفالة,Guarantee,"Assumption of the responsibility for debt repayment; a standard Islamic transaction in which a guarantor (kafil) agrees to assume responsibility for the debts of a creditor (makful `anhu). Similar but not identical to hawala. Surety in Islamic law is the creation of an additional liability with regard to the claim, not to the debt or the assumption only of a liability and not of the debt."
,Kafil,كفيل,Guarantor,The party that assumes responsibility for repayment of the debts of another in a kafala relationship.
,Khabeer,خبير,Expert/Consultant,"An expert who is consulted in situations that require an impartial, informed decision, such as the appraisal of property."
,Kharaj,خراج,Tax on agricultural land,A term used to describe a share of agricultural produce that is collected by the Caliphate and added to the bayt al mal. The term appears in a wider sense in a well-known hadith that came to constitute a basic principle of fiqhal mu`amalat: profit (kharaj) goes withliability (daman).
,Al Kharaj Bil Daman,الخراج بالضمان,Gain accompanies risk of loss,A widely referenced maxim utilised in Islamic commercial jurisprudence (fiqh al muamalat) sourced from the hadith which essentially states that the one who wishes to profit should bear some liability. See also al ghunm bil ghurm.
,Khatar,خطر,Dangerous risk,"A kind of gharar – khatar will be involved if liability of any of the parties to a contract is uncertain or contingent, if delivery of one of the exchange items is not in the control of any party, or if the amount of payment is undetermined."
,Khida,خداع,Deception,"Deception by not disclosing the truth or breaching an agreement in a hiddenway, which is prohibited according to theShari’a."
,Khilaba,خلابة,Fraudulent misrepresentation,"A form of fraud, either in word or deed by a party to the trading contracts with the intention of inducing the other party into making a contract."
,Khiyar,خيار,"Option, choice","The option or power to annul or cancel a contract. The jurists recognise severaldifferent types including khiyar al ru`yah (option to cancel upon viewing), khiyar al`ayb (option to cancel if undesirable), khiyar al naqad (option to cancel onnon-payment), khiyar al shart (option to rescind sale) and khiyar al majlis (option tocancel in the contractual session)."
,Khulta,خلطة,"Mixture, commingling","Typically refers to the permissible mixing of different asset classes in a security (e.g. real property, debt, equity) or the capital structure (equity capital and debt) (all of which may not be Islamically acceptable) according to the Shari'a. In investment markets, this is typically applied to either the gross amount of interest bearing debt to market capitalisation of a company or the proportion of sale based recievables to other assets such as ijara in the structuring of sukuk. In both cases, the preferred limit of interest debt or sales recievables is 1/3 or 33%."
,Khayar An Naqd Al Islami,خيار النقد الاسلامي,Islamic currency option,"An Islamic finance treasury arrangement to mitigate currency exposure whereina party purchases a commodity on a murabaha basis payable on deferred terms in its preferred domiciled currency and then sells the same commodity on a murabaha basis to a counterparty, payable in either its preferred domiciled currency or another currency for a stipulated amount (option currency). This replicates the effect of a currency option and is acceptable since it is allowed in Islamic law to require payment in an alternative currency if this is pre-agreed at the inception of the murabaha contract and the amount receivable in the alternativecurrency is exactly stipulated."
L,Phonetic Spelling,Arabic,English,Definition
,Luqta,لقطة,Missing property,An item misplaced by its owner that someone else finds. The topic raises questions regarding the responsibilities of the person who finds the lost property. Should they leave it where they found it? Should they take possession of it in order to safeguard it until the owner returns? Should they take possession of it and do what they want with it?
M,Phonetic Spelling,Arabic,English,Definition
,Madd,مدَ,Measure,A dry measure equal to 1/4 'sa that was in use in Madina during the time of theProphet Muhammad (pbuh) and continued to be part of the classical Islamicmeasurement system.
,Madhhab,مذهب,School of classical Islamic jurisprudence,"A fiqh school or orientation characterised by differences in the methods by which certain source-texts are understoodand therefore result in differences in  the Shari’a rulings that are deduced from them. There are four well-known madhahib among Sunni Muslims whose names are associated with the classicaljurists who founded them: Hanafi, Maliki,Shafi`i and Hanbali."
,Mahr,مهر,Bridal gift,An obligatory gift of money given by a groom to a bride that is one of theintegral components of a valid marriageagreement.
,Makhatir Tuhaddid An Nidham Al Mali Aw As Souq,مخاطر تهدد النظام المالي أو السوق,Systemic risk,The risk of collapse of an entire financial system or entire market.
,Makruh,مكروه,Detested/ Reprehensible,"Said of an action that one is rewarded for avoiding, but not punished for committing. Among the terms used by jurists (fuqaha') to classify actions with regard to their desirability."
,Mal Mutaqawam,مال متقوم,Goods with commercial value,"Goods or assets the use of which is lawful under Islamic law, or wealth that has a commercial value. Legal tenders or rights to property that carry monetary value are also included in mal mutaqawam. Certain items may have commercial value, but  are considered non-valuable for muslims, such as wine and pork products."
,Malik (Imam),الامام مالك,Malik bin Anas,Pre-eminent jurist (faqih) of the late second/eighth century after whom the Maliki madhhab is named.
,Mandub,مندوب,Recommended,"Recommended or virtuous actions, fulfillment of which is rewarded in Islamic law, but may be neglected without punishment."
,Manfaa,منفعة,Usufruct,"The yield that a usable property produces. The term is often used by the fuqaha' to describe the usufruct associated witha given property, especially in leasing transactions. Ijara is defined as a sale of a manfa'a. In an automobile lease, forexample, the term manfa`a might be used to describe the benefit that the lessee derives from the use of the car for the duration of the lease (as opposed to theactual ownership of the vehicle)."
,Maqasid Al Sharia,مقاصد الشريعة,The higher purposes of the Shari’a,"The term maqasid al shari`ah refers to a juristic-philosophical concept developed by the later generations of the classical fuqaha', who attempted to formulate the goals and purposes of the Shari’a in a comprehensive manner to aid in the process of investigating new cases and organising previous existing rulings. The Shari’a is built upon three important objectives: purification of the soul, upholding justice and protection of the interests of all sides."
,Maslaha Ammah,مصلحة عامة,Public good or benefit,Consideration utilised for deriving Islamic juristic rules (fiqh).
,Masuliyat,مسؤوليات,Responsibilities,"The obligation of an entity arising from past transactions or events, the settlement of which may result in thetransfer or use of assets, services or otheryielding of economic benefits in the future."
,Masraf,مصرف,Bank,An intermediary that performs a variety of financial services.
,Maysar,ميسر,Gambling,To risk (wager) money or something of material value (stake) on an event with an uncertain outcome (chance) with the primary intent of winning additional money and/or material goods.
,Milkiya,مال/ ملكية,Property,"Wealth, money, property; any valuable thing that can be possessed."
,Milkiyat Al Khadamat,ملكية الخدمات,Service right,The right to a service that may be securitised through a pre-sale with sukuk holders benefiting from periodic distribution of underlying payments or service delivery.
,Miskin,مسكين,A destitute person,"A recipient of zakat, generally understood to be poorer than a faqir in that the miskin possesses nothing."
,Mithaq,ميثاق,Covenant,Refers to an earnest and firm determination on the part of the concerned parties to fulfil contractual obligations; stronger than an ordinary contract.
,Al Mithlu Bil Mithl,المثل بالمثل,Like for like,"Like for like (in exchange transactions). Read in context of Islamic rule prohibiting usury in trade (riba al fadl) – similar commodities are to be traded at equal amounts/volume/units of measure, regardless of specific details (i.e. dates are to be exchanged at equal amountsregardless of market preference). See ‘ribaal fadl’."
,Mithli,مثلي,Fungible goods,Goods of the sort that one unit of the good is substantially equivalent to another unit of the same good of the same quality at the same time and place. Antonym: qimy.
,Mizan Al Muaamalat Al Jariya,ميزان المعاملات التجارية,Current account,"The sum of the balance of trade (exports minus imports of goods and services), net factor income (such as interest and dividends) and net transfer payments (such as foreign aid)."
,Al Motawasset Al Hissabi Li Sear Faedat Al Ard Wa Altalab Fima Bein Al Bunuk,المتوسط الحسابي لسعر فائدة العرض والطلب فيما بين البنوك,Swap rate,A fixed rate that makes the market value of a given swap zero at initiation.
,Muaddal Aldayn Ila Ras Al Mal,معدل الدين إلى رأس المال,D/E ratio,A financial ratio indicating the relative proportion of shareholders' equity and debt used to finance a company's assets.
,Bay Al Muajjal,بيع المؤجل,Deferred payment sale,A sale in which payment is delayed and delivery of the contracted goods is immediate. This financing technique has been adopted by Islamic banks and combined with the murabaha contract to form murabaha muajjal. This contract allows the seller to earn a profit margin on his purchase price and allows the buyer to pay the price of the commodity at a future date in a lump sum or in instalments. The seller has to expressly mention the cost of the commodity and the margin of profit is mutually agreed. The price fixed for the commodity in such a transaction can be the same as the spot price or higher or lower than the spot price.
,Al Bay Al Muallaq,البيع المعلق,Suspended sale,"A sale transaction, the effectiveness of which is related to a future condition or action."
,Muamala Muharrama,معاملة محرمة,Unlawful transaction,"Term used to describe a party whenever it transacts (e.g. sells, rents, etc.) with someone else's property without the permission of the Shari’a (e.g. wakalah). Such is the case when a party does not own the property and is not the wakil (authorised representative) or wali (guardian) of the true owner."
,Muamalat,معاملات,Transactions,Economic or business transactions.
,Muashshir Murajjah Bi Al Qima As Suqiya Li Al As-Hum,مؤشر مرجح بالقيمة السوقية للأسهم,Cap-weighted index,An index whose components are weighted according to the total market value of their outstanding shares.
,Mubaa,المباع,Subject of sale,The item or commodity that is traded in a transaction.
,Mubah,مباح,Permissible,Lawful; an object that is lawful for use and trade.
,Mudaraba,مضاربة,Investment management partnership,"A form of partnership where one party provides the funds while the other provides expertise and management. Any profits accrued are shared between the two parties on a pre-agreed basis, while loss is borne by the provider(s) of the capital."
,Mudarib,مضارب,Investment manager,Entrepreneur-manager in a mudharaba contract.
,Mudarib Al Yawm Al Wahid,مضارب اليوم الواحد,Day traders,Day trading refers to the practice of buying and selling financial instruments within the same trading day such that all positions are usually closed before the market closes for the trading day.
,Mufawada,مفاوضة,Equal partnership,"Lit. negotiation. An unrestricted, unlimited and proportionately equal partnership, where the partners are adults, equal in their capital contribution, their ability to undertake responsibility and their shareof profits and losses. Each partner has full authority to act on behalf of the others who are jointly and severally responsible for the liabilities of their partnership business, provided that such liabilities have been incurred in the ordinary course of business. Thus each partner can actas an agent (wakil) for the partnership business and stand as surety or guarantor(kafil) for the other partners."
,Mufti,مفتى,Islamic jurisconsult,"A highly qualified Islamic legal scholar who issues fatawa (informed legal pronouncements), usually in response to questions posed to him."
,Mugharasa,مغارسة,Agricultural contract,"A type of agricultural contract similar to muzara`ah in which a landowner and a worker agree that, in return for the worker's planting and tending of fruit- bearing trees on the landowner's field,the landowner will assign to him a share of the orchard's harvest. Two valid forms of this type of contract exist. In the first, the landowner supplies the necessary materials and bears related expenses while the worker tends the trees for a fixed period. After the expiration of this period, the worker receives a fixed wage or a fixed portion of the orchard. In the second form, which more closely resembles muzara`a, the worker supplies the materials, bears related expenses and receives a share ofthe harvest."
,Mujtahid,مجتهد,Muslim jurist,A highly qualified expert in fiqh who engages in independent legal reasoning (ijtihad).
,Mukhabara,مخابرة,Sharecropping,"Mukhabara is a term used by some of the classical fuqaha' as a synonym for muzara`a and by others to mean an arrangement between a landowner and a worker. Mukharaba is similar to muzara`a except that in mukhabara, supplies are provided by the worker while in muzara`a they are provided by the landowner."
,Mukhassassat Ihtiyatiya,مخصصات احتياطية,Prudential provision,"An amount of expense charged against a bank's income/capital, set aside in anticipation that a proportion of the bank's financing/loan portfolio may be ultimately uncollectible."
,Mukhassassat Inkhifad Al Qima,مخصص انخفاض القيمة,Impairment provisions,"An amount of expense charged against a bank's income/capital, set aside in anticipation that the value of a bank's financing/loan portfolio may be ultimately reduced due to being uncollectible."
,Milkiyat Mushtaraka,ملكيات مشتركة,Cross-holdings,When listed corporations own securities issued by other listed corporations.
,Muqasa,مقاصة,Netting,"Setting off matching debts. An agreement between two parties, each of which is indebted to the other, to mutually cancel their debts. If the amount of one debt is greater than the other, the remainder will continue to be the obligation of the debtor unless otherwise agreed. Netting is an acceptable transaction if the two debts are Shari’a-compliant, and regardless of the nature of the debts, i.e., they can bein different currencies, or one can be a commodity while the offsetting debt canbe from another class of assets, etc."
,Murabaha,مرابحة,"Full disclosure trust sale; also, Mark-up/Cost plus sale","Originally a term describing a sale in which the seller sells his merchandise for more than the price at which he acquired it. The term is used in contemporary Islamic finance to describe a financing scheme in which a financial institution, usually a bank, agrees to purchase merchandise for a client provided that the client promises to purchase it from the financial institution at an agreed mark-up."
,Murabaha Aksiya,مرابحة عكسية,Reverse murabaha,"A method used for monetisation. Islamic cash financing mechanism where one party purchases an asset on credit from a second party on deferred payment basis to sell it consecutively for cash to a third party, thereby receiving instant cash. Used by some Islamic banks to provide cash financing to customers."
,Musaqa,مساقاة,Partnership in output,A type of partnership in which a worker receives a share of the produce of an orchard or garden in exchange for labour.
,Musawama,مساومة,Negotiated sale,A simple sale in which the price of the commodity is negotiated by the seller and the buyer without overt reference to the price paid or cost incurred by the former.
,Musharaka,مشاركة,Investment partnership,"A standard Islamic transaction in which two or more parties enter into any one of several related types of partnerships (see mudaraba, musaqa, muzara`a). In a typical musharaka agreement, two or more parties agree to provide capital (ra's mal) towards the financing of a commercial venture, share profits according to a stipulated ratio and share losses on the basis of equity participation."
,Musharak Fi Ar Ribh Wa Al Khasara,مشاركة في الربح والخسارة,Profit and loss sharing,The term is used to describe any one of several financial schemes based on the principle of interest-free lendingand featuring the use of mudaraba andmusharaka as financing instruments.
,Muslim,مسلم,Muslim,"A Muslim is a person whose religion (deen) is Islam (willing submission to Allah, Lord of the Universe). One who formally announces his Islam by testifying to the fact that there is none deserving of worship except Allah and that the Prophet Muhammad (pbuh) is the Messenger of Allah."
,Mustahabb,مستحب,Meritorious,"Recommended or virtuous actions, fulfillment of which is rewarded in Islamic law, but may be neglected without punishment. Falls between the classifications of permissible (mubah) and obligatory (wajib) actions in Islamic law."
,Mustahaqqat Ash Sharika Lada Al Ghayr,مستحقات الشركة لدى الغير,Receivables,Amounts owed to a business or corporation.
,Mustathmer,مستثمر,Investor,"An investor in the context of any of the contracts, like mudaraba, used for investment products."
,Muwaada,مواعدة,Mutual/bilateral promise/ undertaking,A mutual promise.
,Muwadhaa,مواضعة,Discount sale,Any sale in which the seller sells his merchandise for less than the price at which he acquired it. The purchaser is informed about the discount and the original acquisition cost (one type of trust sale/bay al amanah).
,Muzabana,مزابنة,Bartering fresh fruit for dry,"A transaction in which the owner of fruit trees agrees to sell his fruit for anestimated equivalent amount of the dried fruit. Originally an agricultural practice, it was prohibited by the Prophet Muhammad (pbuh), with the exemption of araya, because of the strong element of gharar. Some fuqaha' use the term to describe any sale in which the weight or volume of theexchange items is unspecified."
,Muzaraa,مزارعة,Share-cropping,An agreement between two parties in which one agrees to allow a portion of his land to be used by the other in return for a part of the produce of the land.
,Muzayada,مزايدة,Auction sale,"Bay al muzayadah is a Shari’a principle governing open auctions, with the asset awarded to the highest bidder."
N,Phonetic Spelling,Arabic,English,Definition
,Najash,نجش,Deception,"The prohibited practice of deceiving and inciting a potential buyer during the course of pre-sale negotiations either through insincere bidding on the partof a spectator (such as bidding with no intention of buying but merely to have the would-be buyer raise his bid), or falsestatements on the part of the seller."
,Naqd,نقد,Currency,"A term used by the classical fuqaha' to refer to currency or ready money – gold, silver, coins, notes and any other form of ready cash – often contrasted with dayn (debt)."
,Naqs Sanawi,نقص سنوي,Annual deficit,The difference between total revenue and total expenditure of a government.
,Nisab,نصاب,Exemption limit,"The exemption limit for the payment of zakat. A Muslim who possesses wealth below the nisab is exempted from paying zakat, while a Muslim who possesses wealth at or above this exemption limitis obliged to pay zakat. The nisab differs depending on the type of wealth inquestion."
,Nisbat Al Arbah Ila Al Makhater,نسبة الأرباح إلى المخاطر,Risk-reward ratio,A comparison of how much risk a trade has to its profit potential.
,Nisbat As Sear Ila Ar Ribh,نسبة السعر إلى الربح,Price-to-earnings ratio,A measure of the price paid for a share relative to the annual net income or profit earned by the firm per share.
Q,Phonetic Spelling,Arabic,English,Definition
,Qabd,قبض,Possession,"Taking possession, physically or legally, of a good or a commodity in an exchange transaction. Its taking place immediately is a necessary condition for the validity of currency exchange."
,Qabul,قبول,Acceptance,Acceptance of an offer in a contract. Antonym: ‘ard.
,Qard,قرض,Loan,"A transaction in which X lends Y some wealth (e.g. money) to be repaid after the elapsing of a specified amount of time, but which can be called back at any time. Islamic law does not recognise any additional excess in addition to theprincipal and therefore this transaction is called a good/beneficial loan (see entry: qard hasan). It is, however, legitimate for a borrower to repay more than the amount borrowed as long as it is not stated oragreed at the point of contract."
,Qard Hasan,قرض حسن,Charitable loan,A transaction in which money is lent and paid back without any addition to the principal that is specified in the contract.
,Qard Marhali,قرض مرحلي,Bridge loan,A short-term loan that is used until a person or company secures permanent financing or removes an existing obligation.
,Al Qawaad Al Fiqhiya,القواعد الفقهية,Legal maxims,A compilation of maxims that are summaries of groups of related rules that are foundational for deriving rules from the Shari’a and form the basis of scholars’ opinions (fatawa) on new areas.
,Qimar,قمار,Gambling,"A type of prohibited arrangement in which the acquisition of property is contingent upon the occurrence of an uncertain event and where one party necessarily gainsat the cost of others. Similar to maysar, which does not necessarily require a lossto one party at the gain of another."
,Qirad,قراض,Investment management partnership,Synonym: mudaraba.
,Qita,قطاع,Sector,One of several subdivisions in an economic system (used for analysis and classification).
,Qimi,قيمي,Non-fungibles,Specifically identified goods or commodities that do not have an exact replacement. Antonym: mithli.
,Qiyas,قياس,Analogy,Derivation of the law on the analogy of an existing law if the basis/rationale ('illah) of the two are the same. One of the tools of ijtihad and sources of Islamic jurisprudence.
,QuRan,قرآن,Qu’ran (literally The Recitation),"The word of Allah, Lord of the Universe, revealed to the last of the Prophets, Muhammad (pbuh), via the Archangel Jibril (Gabriel); the Holy Book of Islam."
,Qurud Mutaathera,قروض متبعثرة,Non-performing loans,Loans that are in default or close to being in default.
,Qurud Ghayr Madmuna Bi Usul,قروض غير مضمونة بأصول,Unsecured loans,Unsecured loans; the lender relies on the lendee’s promise to pay the loan back.
R,Phonetic Spelling,Arabic,English,Definition
,Rabb Al Mal,رب المال,Owner of capital/ Investor,The investor who places his funds with the investment manager (mudarib) in amudaraba contract. See entry ‘mudaraba’.
,Rahn,رهن,Collateral,A pledge or the transaction that governs such a pledge. The collateral can be utilised to settle the debt when a debtor is in default.
,Ras Al Mal,رأس المال,Capital,"i) The money or property that an investor (rabb al mal) invests in a profit- seeking venture, often in a partnership (musharaka) such as a mudaraba or shirkah arrangement.ii) Any form of wealth capable of being employed for the production of morewealth."
,Riba,ربا,Interest,"Any increase in a loan or sale transaction that accrues to the lender, seller or buyer, without the provision of an equivalent countervalue to the other party. Riba encompasses various types of illicit gain, of which banking interest is one example."
,Riba Ad Dayn,ربا الدين,Debt interest,Interest earned on lending money to another party.
,Riba Al Fadl,ربا الفضل,Exchange surplus interest,Any commodity-for-commodity exchange transaction (i.e. barter) in which the exchanged commodities are of the same type but of unequal measure or the delivery of one commodity is postponed. This is one form of riba that is forbidden by Islam.
,Riba An Nasia,ربا النسيئة,Delayed interest,"The practice of lending money for a specified period of time with theunderstanding that the borrower returns the amount originally lent together with an increment in consideration of the time that the lender granted for repayment. Riba al nasi`a is one of the two categories into which riba is often divided by the fuqaha', the other being riba al fadl. Riba al nasi'a takes place when two ribawi substances (see al amwal ‘al ribawiyya’) are exchanged, one immediately and theother with a delay."
,Rishwa,رشوة,Bribery,Achieving a goal through conspiracy and payment.
,Rukn,ركن,Pillar,"An integral part of an act, such as a transaction, without which the act cannot be performed."
S,Phonetic Spelling,Arabic,English,Definition
,Saa,صاع,Dry measure,"A dry measure in use in Madina during the time of the Prophet in which dates, barley and other similar items were weighed."
,Sadaqa,صدقة,Voluntary charity,Giving more to charity than stipulated by zakat.
,Sadd Al Dharaa,سد الذرائع,Prohibiting ostensibly legitimate means to illegitimate ends,"An important Islamic maxim utilised by scholars to prohibit transactions on the grounds of blocking the lawful means to an unlawful end/outcome. For instance, selling grapes to a wine maker or selling weapons during civil unrest would be considered prohibited, even though selling grapes or weapons would notbe considered prohibited in ordinarycircumstances."
,Sear Al Bay Al Rasmi,سعر البيع الرسمي,Official selling price,Agreed price at which an item should be sold.
,Saer Al Suq,سعر السوق,Market price,Market price that has to be paid in case any issue arises in deciding the actual price in any transaction.
,Sear Taswiya,سعر التسوية,Matching rate,"Matching rate in qirad/mudaraba, which has to be paid to the mudarib if the mudaraba/muqarada contract becomes voidable."
,Safi Al Arbah Al Aada Ila Al Musahimin,صافي الأرباح العائدة إلى المساهمين,Net income,Net profit attributable to shareholders.
,Safi Aqsat Al Tamin Al Muktataba,صافي أقساط التأمين المكتتبة,Net written premiums,Written premium less deductions for commissions and ceded reinsurance.
,Sahih,صحيح,"Sound, healthy, correct",A term used to describe a valid contract. A hadith of the highest level of authentication. Antonym: batil.
,Sahm Al Sila Al Mutadawala,سهم السلع المتداولة,Exchange traded commodity,An investment vehicle that tracks the performance of an underlying commodity index including total return indices based on a single commodity.
,Salah,صلاة,Ritual prayer,The second pillar of Islam after the shahada.
,Sanadat,سندات,Bonds,A debt investment in which an investor loans money to an entity (corporate or governmental) that borrows the funds for a defined period of time at a specified interest rate.
,Sanduq Mutadawal Fi Al Bursa,صندوق متداول في البورصة,Exchange traded fund,An investment fund traded on a stock exchange.
,Sanduq,صندوق,Fund,"A uniquely identifiable sum of money set aside for the purposes of a transaction,  a project, a person, a business, an investment or other public or private institutions."
,Sarf,صرف,Currency exchange,"The exchange of gold for gold, silver for silver and gold for silver or vice versa.  In Islamic law such exchange is to be concluded at par and on the spot."
,Shahada,شهادة,"Witness, testimony",Testimony; bearing witness that Allah has the unique right to be worshipped to the exclusion of anything or anyone else and that the Prophet Muhammad (pbuh) is the Messenger of Allah.
,Sharika,شركة,Partnership/Joint ownership,Any contract between two or more persons in which they agree to enter into a joint financial enterprise and divide  the profits between them.
,Sharikat Shibih Hukumiya,شركات شبه حكومية,Parastatal,"Government-owned corporations, state- owned enterprises, state enterprises and government business enterprises are legal entities created by a government to undertake commercial activities on behalf of the owner government."
,Shirka Mutasawiya,شركة متساوية,Partnership,"An unrestricted, unlimited and proportionately equal partnership."
,Shirkat Amal,شركة عمل,Partnership in labour,"Juristic definition of a partnership contract based on contribution of labour. Each party provides labour instead of capital. In this case, all wages earned by the partners would be placed into a wage pool, whichis then shared amongst all parties. Form of partnership by contract (sharika al ‘aqd) in contrast to partnership by ownership ofassets (sharika al milk)."
,Sharika Istithmar Mubashir,شركة استثمار مباشرة,Private equity firm,An investment manager that makes investments in the private equity of operating companies through a variety of loosely affiliated investment strategies.
,Shirkat Al Amwal,شركة الأموال,Partnership by capital contribution,"Juristic definition of a partnership contract based on contribution of capital suchas a joint commercial venture, similar to how shareholders provide capital to a corporation. Form of partnership by contract (sharika al ‘aqd) in contrast  to partnership by ownership of assets(sharika al milk)."
,Shirkat Al Milk,شركة الملك,Partnership by asset ownership,"Partnership established by the right of ownership, where each partner hasprovided capital in order to purchase a particular asset/property. Contrast tocontractual partnership (sharika al ‘aqd)."
,Shirkat Al Aqd,شركة عقد,Contractual partnership,"Juristic definition of a contract between two or more parties to combine their assets, labour or liabilities for the purpose of making profits. This type of contract is contrasted to a partnership by ownership (sharakat mulk) and includes sub classifications such as unequalpartnership (sharakat al inan), partnership by capital contribution (sharakat ul amwal) and partnership by creditworthiness(sharakat ul wujooh)."
,Shirkat Al Inan,شركة العنان,Unequal partnership,"Juristic definition of a limited partnership with unequal capital contributions.Contract of partnership based on agency in which participation may either be on the basis of wealth or labour or credit- worthiness, and in which equality of contribution or legal capacity is not necessary. Form of partnership by contract (sharakat al aqd) in contrastto partnership by ownership of assets(sharakat mulk)."
,Shirkat Al Wujooh,شركة الوجوه,Partnership by creditworthiness,"Juristic definition of a partnership where the parties contribute theircreditworthiness/reputations to purchase assets on deferred payment in order to sell them on credit and make a profit, which is then shared between the parties. The term wujooh is derived from wajahat or goodwill. Form of partnership by contract (sharakat al aqd) is in contrastto partnership by ownership of assets(sharakat mulk)."
,Sharia,شريعة,Islamic law,"Islamic law, originating from the Qu’ran, as defined by practices and explanations rendered by the Prophet Muhammad (pbuh) and ijtihad of ‘ulama (personal effort by qualified Shari’a scholars to determine the true ruling of the divine law in a subject matter)."
,Shart,شرط,"Stipulation, condition",A condition or stipulation in a contract.
,Shart Al Jazaa,شرط الجزاء,Penalty clause,"A clause that a purchaser can put into, for example, an istisna' agreement whereby the price of an item being manufactured would decrease in the case of a delayin delivery by the seller/manufacturerwhereby the delay benefits the purchaser."
,Sigha,صيغة,Contractual formula,"A formal exchange between contractual parties indicating their willingness to enter into a contractual agreement. It is a rukn (integral element) of the Islamic contract and essentially consists of a proposal(ijab) on the part of one contractual party and an acceptance (qabul) on the part of the other, either of which may be verbal, written or even gestural, depending on the circumstances under which the contractis closed."
,Sanduq Istithmar Maftuh,صندوق الاستثمار مفتوح,Open-ended fund,Collective investment scheme that can issue and redeem shares at any time.
,Souq,سوق,market,market/bazaar
,Suftaja,سفتجة,Debt transfer,"A debt transfer transaction practised in Islamic societies in which a debtorauthorises his agent (wakil), or someone who owes him a debt, to pay a given amount to the person to whom he is indebted. Suftaja is related to and may be considered a special case of the standard Islamic debt transfer transaction knownas hawala."
,Sukuk,صكوك,Islamic bond,"A term used in contemporary Islamic finance to describe financial certificate equivalents to conventional debt issuances such as bonds. However, unlike debt issuances, sukuk holders are the legal and/or beneficial owners of the underlying assets, and as such, receive the equivalent of a coupon from the performance of the yielding asset."
,Sunna,سنة,The ‘way’ of the ProphetMuhammad (pbuh),"The actions, deeds, endorsements and characteristics of the Prophet Muhammad (pbuh), which inform the life of a Muslim."
T,Phonetic Spelling,Arabic,English,Definition
,Taazur,تأزر,"Collaboration, contribution, co- operation",Two or more things functioning together to produce a result.
,Tabadul Muadlat Ar Ribh,تبادل معدلات الربح,Profit rate swap,The combination of either two legs of a murabaha contract or multiple murabaha undertakings to replicate an interest rate swap (see entry: swap/'aqd mubadalat). Practised in Islamic finance as a necessity for risk management/cost reduction purposes.
,Tabadul Wadaa,تبادل ودائع,Exchange of deposits,An Islamic finance treasury arrangement wherein two parties place alternative currency deposits between themselves  for a stipulated period for either satisfying liquidity requirements in a particular currency or for placing excess liquidity in a deposit.
,Tabarru,تبرع,Charitable contract,Charity or donation for the pleasure of God.
,Aqd Tabaru,عقد تبرع,Non-commutative contract,"A unilateral transfer contract classification in fiqh muamalat, in which one party does not get any return or compensation or consideration as in the case of a gift (hiba), loan (qard) or guarantee (kafala)."
,Tabdheer,تبذير,Extravagance,Spending wastefully on items whether or not these are explicitly prohibited by the Shari’a and irrespective of the quantum expenditure. See also israf.
,Tadlis Al Aib,تدليس العيب,Fraudulent omission of defects,"Seller intentionally hiding the defects of goods, which is prohibited according to Shari'a principles."
,Taftit Milkiya Al Musahimin,تفتيت ملكية المساهمين,Share dilution,"When new shares are issued to fund a takeover deal or raise money, increasing the number of shares and decreasing individual share value."
,Taghtiya Ajila,تغطية أجلة,Forward cover,"Contract or option involving sale or purchase of a currency at a fixed price on a fixed future date, arranged or bought as a hedge against adverse exchange rate fluctuations."
,Tahawwut An Naqdi Al Islami,التحوط النقدي الأسلامي,Islamic currency hedge,"An Islamic finance treasury arrangement to mitigate currency exposure. For instance, consider party A, which hasa liability payable at some date in the future. Party A purchases a commodity on a murabaha basis payable on deferred terms in its preferred domiciled currency and then sells the same commodity ona murabaha basis payable on deferred terms to Party B in the required currency, thereby recieving the currency that it requires in the future and paying itspreferred currency."
,Tahwilat Al Mughtaribin,تحويلات المغتربين,Remittances,Transfers of money by foreign workers to their home countries.
,Takaful,تكافل,Islamic insurance,An Islamic alternative to conventional commercial insurance based on the concept of mutual support (ta'awun). It provides mutual protection of assets and property. Takaful is similar to mutual insurance in that members are the insurers as well as the insured.
,Tamweel,تمويل,Financing,"The act of providing funds for business activities, making purchases or investing."
,Tamweel Marhali,تمويل مرحلي,Bridge financing,A method of financing used to maintain liquidity while waiting for an anticipated and reasonably expected inflow of cash.
,Tamwil Mutanahi Assighar,التمويل متنامي الصغر,Microfinance,Provision of financial services to low- income clients or solidarity lending groups who traditionally lack access to banking and related services.
,Tanajush,تناجش,Price manipulation,Refers to a conspiracy between a seller and a buyer to artificially inflate the price of goods.
,Tandeed,تنضيض,Profit calculation period,The period in mudaraba when profit can be calculated.
,Taqsim Al Umala Ila Sharaeh Hasb Al Istihlak,تقسيم العملاء على شرائح حسب الاستهلاك,Segmentation,The identification of subsets of buyers within a market who share similar needs and who demonstrate similar buyer behaviour.
